subject_id,trial,condition,stimulus,subject_title,title_time,subject_rating,rating_time,a1_id,a1_name,a1_rating,a1_title,a2_id,a2_name,a2_rating,a2_title,a3_id,a3_name,a3_rating,a3_title,a4_id,a4_name,a4_rating,a4_title,a5_id,a5_name,a5_rating,a5_title,a6_id,a6_name,a6_rating,a6_title,selection_time_1,selection_time_2,selection_time_3,kept_1_loc,kept_1_id,kept_1_name,kept_1_rating,kept_1_title,kept_2_loc,kept_2_id,kept_2_name,kept_2_rating,kept_2_title,kept_3_loc,kept_3_id,kept_3_name,kept_3_rating,kept_3_title,elim_1_loc,elim_1_id,elim_1_name,elim_1_rating,elim_1_title,elim_2_loc,elim_2_id,elim_2_name,elim_2_rating,elim_2_title,elim_3_loc,elim_3_id,elim_3_name,elim_3_rating,elim_3_title
52,1,keep,12,feel disgusted,7.3826538088,6.0,4.32273424219,42,Kaitlyn,4.0,A black man is being arrested and held by police officers.,38,Shelby,7.0,An african american male being arrested by a police officer,48,Kelly,3.0,I just feel sickened by all of the racism that this picture represents. ,9,Amanda,2.0,Blacks can be easy targets for the police.,6,Taylor,2.0,It almost looks like the man is about to start pleading with the officer.,57,Miranda,5.0,He looks like he wants mercy from these cops,5.2385298711,6.38904667762,7.90639862779,2,38,Shelby,7.0,An african american male being arrested by a police officer,4,9,Amanda,2.0,Blacks can be easy targets for the police.,6,57,Miranda,5.0,He looks like he wants mercy from these cops,1,42,Kaitlyn,4.0,A black man is being arrested and held by police officers.,3,48,Kelly,3.0,I just feel sickened by all of the racism that this picture represents. ,5,6,Taylor,2.0,It almost looks like the man is about to start pleading with the officer.
52,2,keep,16,poor guy,5.79799555347,6.0,1.59002845897,53,Marissa,2.0,Can see and feel the anger of the citizen. ,38,Shelby,7.0,An african american man being arrested by several white policeman.,50,Jordan,5.0,Man looks like he is yelling while police arrest him,9,Amanda,2.0,Society can be ugly.,58,Paige,7.0,He is down and screaming and he is going to jail. ,57,Miranda,7.0,He looks like hes still fighting for himself,2.62187391473,3.97289837606,5.32192255335,5,58,Paige,7.0,He is down and screaming and he is going to jail. ,6,57,Miranda,7.0,He looks like hes still fighting for himself,3,50,Jordan,5.0,Man looks like he is yelling while police arrest him,1,53,Marissa,2.0,Can see and feel the anger of the citizen. ,2,38,Shelby,7.0,An african american man being arrested by several white policeman.,4,9,Amanda,2.0,Society can be ugly.
52,3,keep,14,this is really ugly,7.44736938144,5.0,3.62111696589,1,Jessica,5.0,More of the same.,47,Chelsea,5.0,Why is it necessary to sit on top of the woman in the picture?,50,Jordan,1.0,The police has someone on the ground,54,Heather,8.0,I feel bad that the person is being arrested by police and people are videotaping on the side. ,58,Paige,7.0,This is sad how people can get out of control. ,57,Miranda,5.0,Hes given up,2.68880673475,4.38931153854,5.12310242443,4,54,Heather,8.0,I feel bad that the person is being arrested by police and people are videotaping on the side. ,5,58,Paige,7.0,This is sad how people can get out of control. ,6,57,Miranda,5.0,Hes given up,1,1,Jessica,5.0,More of the same.,2,47,Chelsea,5.0,Why is it necessary to sit on top of the woman in the picture?,3,50,Jordan,1.0,The police has someone on the ground
52,4,keep,5,The woman's male companion looks terrified,30.2024968197,4.0,4.29120639141,5,Sarah,6.0,"why are they holding down the woman, she will not do anything wrong",21,Brianna,7.0,A peaceful protest gone wrong. ,10,Elizabeth,2.0,I see a black woman being arrested.,54,Heather,9.0,I feel sad this this girl is surrounded by police. ,58,Paige,6.0,I think even people that are in high positions get caught for some type of crime.,57,Miranda,9.0,I hope shes not being arrested for unjust reasons,3.03194837808,3.86509886524,5.24904704257,6,57,Miranda,9.0,I hope shes not being arrested for unjust reasons,1,5,Sarah,6.0,"why are they holding down the woman, she will not do anything wrong",3,10,Elizabeth,2.0,I see a black woman being arrested.,2,21,Brianna,7.0,A peaceful protest gone wrong. ,4,54,Heather,9.0,I feel sad this this girl is surrounded by police. ,5,58,Paige,6.0,I think even people that are in high positions get caught for some type of crime.
52,5,keep,4,he looks terrified,22.5366614189,5.0,3.0569296896,5,Sarah,5.0,he is shocked he did nothing wrong but is being pulled back,16,Stephanie,2.0,This guy looks scared.,10,Elizabeth,2.0,I see a surprised face on a black man who is being escorted away by a police officer.,20,Victoria,4.0,i feel a little bad for the man getting areested he looks shocked,24,Danielle,3.0,Black person being arrested ,57,Miranda,9.0,This man looks really scared,2.7494330724,4.83379681618,6.46748341131,2,16,Stephanie,2.0,This guy looks scared.,6,57,Miranda,9.0,This man looks really scared,1,5,Sarah,5.0,he is shocked he did nothing wrong but is being pulled back,3,10,Elizabeth,2.0,I see a surprised face on a black man who is being escorted away by a police officer.,4,20,Victoria,4.0,i feel a little bad for the man getting areested he looks shocked,5,24,Danielle,3.0,Black person being arrested 
52,6,keep,6,the police must have really hurt him,10.0022001413,7.0,2.30380225007,5,Sarah,5.0,there does not need to be this many police over one man,16,Stephanie,2.0,What led to this?,46,Tiffany,4.0,I don't like so many people holding this person down. ,23,Morgan,2.0,I feel sorry for the man being held with his face near the ground.  The bright colors make it look a bit unreal. ,62,Julia,9.0,A man being arrested by way too many cops with him face down on the concrete. Completely unacceptable!,57,Miranda,5.0,Hes being arrested,1.17628243682,1.57657016302,5.6778698914,5,62,Julia,9.0,A man being arrested by way too many cops with him face down on the concrete. Completely unacceptable!,6,57,Miranda,5.0,Hes being arrested,3,46,Tiffany,4.0,I don't like so many people holding this person down. ,1,5,Sarah,5.0,there does not need to be this many police over one man,2,16,Stephanie,2.0,What led to this?,4,23,Morgan,2.0,I feel sorry for the man being held with his face near the ground.  The bright colors make it look a bit unreal. 
52,7,keep,19,looks like he is trying to fight back,20.8104294738,6.0,2.51501125307,31,Anna,4.0,Most of those arrested during the protest were indeed black.,14,Alexis,5.0,I don't like seeing people hurt. ,46,Tiffany,3.0,This man looks really distraught and upset. ,25,Jasmine,5.0,I am wondering he he is resisting arrest.,62,Julia,7.0,"Police arresting a man, probably a protester",57,Miranda,9.0,This guy looks like he cant breathe,3.84266067424,5.69262141548,7.42636525945,3,46,Tiffany,3.0,This man looks really distraught and upset. ,6,57,Miranda,9.0,This guy looks like he cant breathe,1,31,Anna,4.0,Most of those arrested during the protest were indeed black.,2,14,Alexis,5.0,I don't like seeing people hurt. ,4,25,Jasmine,5.0,I am wondering he he is resisting arrest.,5,62,Julia,7.0,"Police arresting a man, probably a protester"
52,8,keep,11,it looks like they're trying to kill the guy,15.1712281276,8.0,1.92112933937,31,Anna,4.0,"Several people, including this young man were arrested and detained during the scuffle with police.",45,Christina,3.0,"The subdued guy should try to stay quiet whether or not the arrest is proper, easier said than done of course.",46,Tiffany,3.0,He looks like he's struggling. ,28,Rebecca,2.0,Just another person being arrested. ,52,Brooke,8.0,leave that dude alone!,57,Miranda,7.0,Too much force,4.83235248341,5.58300665265,6.33286167763,2,45,Christina,3.0,"The subdued guy should try to stay quiet whether or not the arrest is proper, easier said than done of course.",6,57,Miranda,7.0,Too much force,5,52,Brooke,8.0,leave that dude alone!,1,31,Anna,4.0,"Several people, including this young man were arrested and detained during the scuffle with police.",3,46,Tiffany,3.0,He looks like he's struggling. ,4,28,Rebecca,2.0,Just another person being arrested. 
52,9,keep,8,i feel really sorry that society put this guy in this situation,30.8523516167,6.0,2.39132522233,19,Nicole,7.0,Going to jail.,45,Christina,3.0,The young man shouldnt being trying to resist arrest from 4-5 policemen.,61,Gabrielle,9.0,That is a lot of officers for one man.,56,Laura,4.0,"Upset, as this seems like an overreaction given it's one non threatening person away from crowd.",52,Brooke,7.0,"again, all these cops for one person",57,Miranda,8.0,He looks disheartened and that's a lot of cops for one man,4.1332740509,5.85094463243,6.48392303125,4,56,Laura,4.0,"Upset, as this seems like an overreaction given it's one non threatening person away from crowd.",6,57,Miranda,8.0,He looks disheartened and that's a lot of cops for one man,1,19,Nicole,7.0,Going to jail.,2,45,Christina,3.0,The young man shouldnt being trying to resist arrest from 4-5 policemen.,3,61,Gabrielle,9.0,That is a lot of officers for one man.,5,52,Brooke,7.0,"again, all these cops for one person"
52,10,keep,17,"uuughhhhhh, police should not chokehold",44.4581388693,8.0,2.42398265202,19,Nicole,8.0,Going to jail good.,8,Brittany,9.0,Cops use excessive force on unarmed man.,59,Katelyn,5.0,Confusion is on display as the detainee probably thought he was not going to get arrested.,56,Laura,5.0,"Somewhat upset, there seems to be an overreaction given how far away suspect is from the action and furthermore do not know what type of law enforcement these people are.",22,Amber,1.0,more police arresting a recalcitrant black,57,Miranda,9.0,Again too much force looks like they're gonna choke him out,8.77108409349,9.70449311216,10.3210085126,5,22,Amber,1.0,more police arresting a recalcitrant black,6,57,Miranda,9.0,Again too much force looks like they're gonna choke him out,1,19,Nicole,8.0,Going to jail good.,2,8,Brittany,9.0,Cops use excessive force on unarmed man.,3,59,Katelyn,5.0,Confusion is on display as the detainee probably thought he was not going to get arrested.,4,56,Laura,5.0,"Somewhat upset, there seems to be an overreaction given how far away suspect is from the action and furthermore do not know what type of law enforcement these people are."
